k,time,Log-likelihood,bic,aic,algo
2,0.01767706871032715,-7.64432894252,2131.79827949,2015.83741626,EM
3,0.04974794387817383,-1.30178356903,642.780543219,467.425091506,EM
4,0.042923927307128906,-1.21809309702,744.808107049,510.058066853,EM
5,0.05703926086425781,-0.406100621655,609.109305849,314.96467717,EM
6,0.07108402252197266,-0.708863661364,837.237958542,483.698741379,EM
7,0.04506492614746094,-0.337445705407,817.111703952,404.177898305,EM
8,0.08030390739440918,0.500354003995,757.424602109,285.096207979,EM
9,0.09830284118652344,0.770377084665,824.299082463,292.576099851,EM
10,0.07297897338867188,1.55914654989,775.5402555,184.422684404,EM
11,0.07155919075012207,0.0955805161215,1160.4834561,509.971296525,EM
12,0.09190177917480469,0.163305316877,1204.0057898,494.099041738,EM
13,0.09509968757629395,0.316305521991,1407.41854618,638.117209634,EM
14,0.07759690284729004,0.337306317554,1477.79584073,649.099915699,EM
15,0.13429999351501465,1.69521746872,1208.00506565,319.914552135,EM
16,0.08733010292053223,0.315177041841,1675.18549103,727.700389033,EM
17,0.10517096519470215,1.03376039719,1671.43149498,664.551804504,EM
18,0.1459813117980957,3.69417846204,1137.7789491,71.5046701376,EM
19,0.14176177978515625,3.49571533531,1338.34477589,212.675908441,EM
2,0.07168698310852051,-4.56012149703,1420.50017311,1304.53930988,EM_FA
3,0.05355215072631836,-1.29683429396,644.018075413,468.662623701,EM_FA
4,0.07829475402832031,-1.25729554458,739.611130425,504.861090228,EM_FA
5,0.05820798873901367,-0.758963871992,757.283200632,463.138571953,EM_FA
6,0.08478784561157227,0.0996545062214,637.452323603,283.91310644,EM_FA
7,0.05952000617980957,1.23434703684,478.584691068,65.6508854221,EM_FA
8,0.08379101753234863,-0.153184704524,916.313589769,443.985195639,EM_FA
9,0.10833001136779785,0.748050152223,920.782950006,389.059967393,EM_FA
10,0.1020359992980957,0.707142275307,924.286367809,333.168796713,EM_FA
11,0.09060811996459961,1.26371709866,872.872547762,222.360388182,EM_FA
12,0.09526562690734863,0.310682775495,1300.75834895,590.851600889,EM_FA
13,0.13890910148620605,0.942309348889,1191.27760762,421.976271073,EM_FA
14,0.15092110633850098,1.47439215134,1236.62883443,407.932909399,EM_FA
15,0.11518168449401855,0.984068232461,1294.46079427,406.370280753,EM_FA
16,0.13889002799987793,2.91642978525,1139.60424971,192.119147713,EM_FA
17,0.1318819522857666,0.626998509633,1744.23647369,737.356783214,EM_FA
18,0.16327810287475586,2.06523184407,1553.72059352,487.446314554,EM_FA
19,0.17701292037963867,4.40647691333,1009.38733923,-116.28152822,EM_FA
2,0.037442922592163086,-7.49036293831,2130.18714525,2014.22628202,EM_ICA
3,0.02397298812866211,-1.28507617671,662.515422445,487.159970732,EM_ICA
4,0.023288726806640625,-1.19678365141,768.501484245,533.751444049,EM_ICA
5,0.03807878494262695,-1.1205421746,837.048633292,542.904004612,EM_ICA
6,0.035315752029418945,0.134259668196,250652.499192,250298.959975,EM_ICA
7,0.04223489761352539,0.704639317693,509.871071121,96.9372654748,EM_ICA
8,0.06902289390563965,-0.0315775332757,964.260858051,491.932463922,EM_ICA
9,0.03579378128051758,-0.54502709512,1184.27484147,652.551858854,EM_ICA
10,0.03864598274230957,-0.165619610432,1001129.82751,1000538.70994,EM_ICA
11,0.07942914962768555,0.303140957222,1001166.36313,1000515.85097,EM_ICA
12,0.09244108200073242,1.42876509349,1000954.72571,1000244.81896,EM_ICA
13,0.11980795860290527,0.899966549646,1001117.86755,1000348.56621,EM_ICA
14,0.12035822868347168,0.856691648391,1001300.64548,1000471.94955,EM_ICA
15,0.08449721336364746,1.44587867446,1001246.76212,1000358.6716,EM_ICA
16,0.09246373176574707,1.26591748656,1001398.27003,1000450.78493,EM_ICA
17,0.10474491119384766,1.25208646508,1001502.51184,1000495.63215,EM_ICA
18,0.14085793495178223,1.93395971492,1001542.96585,1000476.69157,EM_ICA
19,0.2907681465148926,3.91577556242,1001141.13874,1000015.46987,EM_ICA
2,0.021691083908081055,-4.65497008312,1321.9606006,1205.99973737,EM_PCA
3,0.016247034072875977,-1.30000137007,647.301044548,471.945592835,EM_PCA
4,0.026247024536132812,-1.2810139057,767.841935116,533.09189492,EM_PCA
5,0.023504972457885742,-0.880351611269,500719.961495,500425.816866,EM_PCA
6,0.02740788459777832,-0.344986783637,2000703.93852,2000350.39931,EM_PCA
7,0.031524658203125,-0.60385517917,500893.2589,500480.325094,EM_PCA
8,0.03762197494506836,-0.293513898982,500919.340544,500447.01215,EM_PCA
