k,time,Log-likelihood,bic,aic,algo
2,0.01767706871032715,-7.64432894252,2131.79827949,2015.83741626,EM
3,0.04974794387817383,-1.30178356903,642.780543219,467.425091506,EM
4,0.042923927307128906,-1.21809309702,744.808107049,510.058066853,EM
5,0.05703926086425781,-0.406100621655,609.109305849,314.96467717,EM
6,0.07108402252197266,-0.708863661364,837.237958542,483.698741379,EM
7,0.04506492614746094,-0.337445705407,817.111703952,404.177898305,EM
8,0.08030390739440918,0.500354003995,757.424602109,285.096207979,EM
9,0.09830284118652344,0.770377084665,824.299082463,292.576099851,EM
10,0.07297897338867188,1.55914654989,775.5402555,184.422684404,EM
11,0.07155919075012207,0.0955805161215,1160.4834561,509.971296525,EM
12,0.09190177917480469,0.163305316877,1204.0057898,494.099041738,EM
13,0.09509968757629395,0.316305521991,1407.41854618,638.117209634,EM
14,0.07759690284729004,0.337306317554,1477.79584073,649.099915699,EM
15,0.13429999351501465,1.69521746872,1208.00506565,319.914552135,EM
16,0.08733010292053223,0.315177041841,1675.18549103,727.700389033,EM
17,0.10517096519470215,1.03376039719,1671.43149498,664.551804504,EM
18,0.1459813117980957,3.69417846204,1137.7789491,71.5046701376,EM
19,0.14176177978515625,3.49571533531,1338.34477589,212.675908441,EM
