k,time,Log-likelihood,bic,aic,algo
2,0.07168698310852051,-4.56012149703,1420.50017311,1304.53930988,EM_FA
3,0.05355215072631836,-1.29683429396,644.018075413,468.662623701,EM_FA
4,0.07829475402832031,-1.25729554458,739.611130425,504.861090228,EM_FA
5,0.05820798873901367,-0.758963871992,757.283200632,463.138571953,EM_FA
6,0.08478784561157227,0.0996545062214,637.452323603,283.91310644,EM_FA
7,0.05952000617980957,1.23434703684,478.584691068,65.6508854221,EM_FA
8,0.08379101753234863,-0.153184704524,916.313589769,443.985195639,EM_FA
9,0.10833001136779785,0.748050152223,920.782950006,389.059967393,EM_FA
10,0.1020359992980957,0.707142275307,924.286367809,333.168796713,EM_FA
11,0.09060811996459961,1.26371709866,872.872547762,222.360388182,EM_FA
12,0.09526562690734863,0.310682775495,1300.75834895,590.851600889,EM_FA
13,0.13890910148620605,0.942309348889,1191.27760762,421.976271073,EM_FA
14,0.15092110633850098,1.47439215134,1236.62883443,407.932909399,EM_FA
15,0.11518168449401855,0.984068232461,1294.46079427,406.370280753,EM_FA
16,0.13889002799987793,2.91642978525,1139.60424971,192.119147713,EM_FA
17,0.1318819522857666,0.626998509633,1744.23647369,737.356783214,EM_FA
18,0.16327810287475586,2.06523184407,1553.72059352,487.446314554,EM_FA
19,0.17701292037963867,4.40647691333,1009.38733923,-116.28152822,EM_FA
