k,time,Log-likelihood,bic,aic,algo
2,0.037442922592163086,-7.49036293831,2130.18714525,2014.22628202,EM_ICA
3,0.02397298812866211,-1.28507617671,662.515422445,487.159970732,EM_ICA
4,0.023288726806640625,-1.19678365141,768.501484245,533.751444049,EM_ICA
5,0.03807878494262695,-1.1205421746,837.048633292,542.904004612,EM_ICA
6,0.035315752029418945,0.134259668196,250652.499192,250298.959975,EM_ICA
7,0.04223489761352539,0.704639317693,509.871071121,96.9372654748,EM_ICA
8,0.06902289390563965,-0.0315775332757,964.260858051,491.932463922,EM_ICA
9,0.03579378128051758,-0.54502709512,1184.27484147,652.551858854,EM_ICA
10,0.03864598274230957,-0.165619610432,1001129.82751,1000538.70994,EM_ICA
11,0.07942914962768555,0.303140957222,1001166.36313,1000515.85097,EM_ICA
12,0.09244108200073242,1.42876509349,1000954.72571,1000244.81896,EM_ICA
13,0.11980795860290527,0.899966549646,1001117.86755,1000348.56621,EM_ICA
14,0.12035822868347168,0.856691648391,1001300.64548,1000471.94955,EM_ICA
15,0.08449721336364746,1.44587867446,1001246.76212,1000358.6716,EM_ICA
16,0.09246373176574707,1.26591748656,1001398.27003,1000450.78493,EM_ICA
17,0.10474491119384766,1.25208646508,1001502.51184,1000495.63215,EM_ICA
18,0.14085793495178223,1.93395971492,1001542.96585,1000476.69157,EM_ICA
19,0.2907681465148926,3.91577556242,1001141.13874,1000015.46987,EM_ICA
