k,time,adjusted_rand_score,homogeneity_score,log-likehood,algo
2,0.04411602020263672,0.808778482091,0.681464130476,-4248.44780333,Kmeans
3,0.08724403381347656,0.366751875134,0.38536671195,-3648.00561633,Kmeans
4,0.0845797061920166,0.227983628625,0.322249432861,-3194.87928928,Kmeans
5,0.0738670825958252,0.208182770778,0.378745718746,-2827.34571182,Kmeans
6,0.0831763744354248,0.238820079261,0.533157801075,-2557.8961049,Kmeans
7,0.08980989456176758,0.237675461995,0.595721475921,-2291.50372294,Kmeans
8,0.08952593803405762,0.189246280119,0.551023907345,-2045.69947289,Kmeans
9,0.11319398880004883,0.183633325068,0.564198631247,-1929.79013294,Kmeans
10,0.13489079475402832,0.16069704583,0.537401446613,-1821.50672576,Kmeans
11,0.13558697700500488,0.144791935592,0.51704422176,-1715.08615754,Kmeans
12,0.1626439094543457,0.1183388378,0.50096426985,-1629.84177141,Kmeans
13,0.1412980556488037,0.122989486691,0.565898254914,-1542.02735078,Kmeans
14,0.12642812728881836,0.104409400901,0.515330706543,-1478.61086626,Kmeans
15,0.12224197387695312,0.108660802192,0.575349102291,-1422.91865833,Kmeans
16,0.13794994354248047,0.0936691575223,0.535572706417,-1365.89588383,Kmeans
17,0.12935400009155273,0.0913353992691,0.582441587999,-1327.60445038,Kmeans
18,0.13765311241149902,0.100321513213,0.679014115953,-1286.40254842,Kmeans
19,0.14074492454528809,0.091427638233,0.634863119811,-1245.63225273,Kmeans
2,0.021502017974853516,0.855353877533,0.755291229859,-581.080784283,KM_FA
3,0.026514053344726562,0.442660748103,0.578005871858,-367.032343605,KM_FA
4,0.020353078842163086,0.480307137986,0.778913631215,-211.789625629,KM_FA
5,0.022004365921020508,0.530947646017,0.937972477857,-140.199229648,KM_FA
6,0.03302574157714844,0.543685834259,1.0,-108.965564528,KM_FA
7,0.039199113845825195,0.463582104135,1.0,-77.820481311,KM_FA
8,0.028512954711914062,0.393956039719,1.0,-52.5100109333,KM_FA
9,0.03368568420410156,0.333750359441,1.0,-37.4082445174,KM_FA
10,0.03368782997131348,0.286398794992,1.0,-24.0247384371,KM_FA
11,0.028575897216796875,0.27290554735,1.0,-17.0351032748,KM_FA
12,0.04179811477661133,0.270592842824,1.0,-10.8428790177,KM_FA
13,0.03655719757080078,0.261290177133,1.0,-5.21735967331,KM_FA
14,0.04026198387145996,0.260028615882,1.0,-2.96664758156,KM_FA
15,0.04131793975830078,0.258881391088,1.0,-0.835363859826,KM_FA
16,0.05029702186584473,0.230669575995,1.0,-0.693808913551,KM_FA
17,0.04785895347595215,0.206778790889,1.0,-0.585278027174,KM_FA
18,0.05528378486633301,0.193580425946,1.0,-0.516545141849,KM_FA
19,0.060801029205322266,0.174221272142,1.0,-0.449007532965,KM_FA
2,0.037252187728881836,0.808778482091,0.681464130476,-1.28378862931,Kmeans_ICA
3,0.03944706916809082,0.405563205049,0.454825263647,-0.808773457326,Kmeans_ICA
4,0.06919598579406738,0.296023244971,0.420556197744,-0.599300839955,Kmeans_ICA
5,0.07523012161254883,0.336461635325,0.590053710058,-0.490115484479,Kmeans_ICA
6,0.06733489036560059,0.307470855859,0.681854424452,-0.414661785346,Kmeans_ICA
7,0.06702375411987305,0.219079498031,0.615123100142,-0.337997972472,Kmeans_ICA
8,0.0843203067779541,0.221078566465,0.67870802669,-0.296710168848,Kmeans_ICA
9,0.0893549919128418,0.198661084183,0.668901430208,-0.265371862529,Kmeans_ICA
10,0.09776520729064941,0.18129488163,0.664657655403,-0.241943721557,Kmeans_ICA
11,0.10474705696105957,0.160264239713,0.683282762019,-0.22329541366,Kmeans_ICA
12,0.10260200500488281,0.150994392612,0.704296055556,-0.205526678229,Kmeans_ICA
13,0.10657501220703125,0.140958338522,0.675900567968,-0.189728746478,Kmeans_ICA
14,0.10428428649902344,0.126923456183,0.680638761432,-0.176480103828,Kmeans_ICA
15,0.10606741905212402,0.116338930404,0.681728212353,-0.165083745317,Kmeans_ICA
16,0.10521888732910156,0.114735617289,0.684256685043,-0.15492795575,Kmeans_ICA
17,0.11014986038208008,0.109038775316,0.710870865242,-0.146302430475,Kmeans_ICA
18,0.0939781665802002,0.105241612777,0.727438312768,-0.134703843548,Kmeans_ICA
19,0.09070682525634766,0.101070631583,0.71847044287,-0.130312109265,Kmeans_ICA
2,0.05526089668273926,0.808778482091,0.681464130476,-1635.92857547,Kmeans_PCA
3,0.04668903350830078,0.411251659853,0.456010060792,-1073.93121503,Kmeans_PCA
4,0.0453190803527832,0.343171500918,0.472119967518,-805.50123117,Kmeans_PCA
5,0.07052206993103027,0.317541289826,0.568187606065,-659.639512924,Kmeans_PCA
6,0.07875895500183105,0.259819107966,0.555053601739,-559.873891562,Kmeans_PCA
7,0.08504390716552734,0.218360204053,0.604097547218,-464.752244483,Kmeans_PCA
8,0.09377598762512207,0.225785517766,0.702324298751,-404.039971464,Kmeans_PCA
9,0.0807180404663086,0.197315558169,0.65469953571,-363.300616634,Kmeans_PCA
10,0.08256196975708008,0.177929500612,0.652987755729,-326.886121049,Kmeans_PCA
11,0.08660387992858887,0.157398390745,0.674705157136,-300.549447174,Kmeans_PCA
12,0.0962209701538086,0.148110448794,0.68547239805,-275.846965679,Kmeans_PCA
13,0.08104491233825684,0.13617851195,0.682439737539,-257.755460315,Kmeans_PCA
14,0.1047511100769043,0.129631213427,0.668840374136,-236.719284147,Kmeans_PCA
15,0.09378504753112793,0.118803148549,0.682865848496,-223.13426049,Kmeans_PCA
