k,time,adjusted_rand_score,homogeneity_score,log-likehood,algo
2,0.04411602020263672,0.808778482091,0.681464130476,-4248.44780333,Kmeans
3,0.08724403381347656,0.366751875134,0.38536671195,-3648.00561633,Kmeans
4,0.0845797061920166,0.227983628625,0.322249432861,-3194.87928928,Kmeans
5,0.0738670825958252,0.208182770778,0.378745718746,-2827.34571182,Kmeans
6,0.0831763744354248,0.238820079261,0.533157801075,-2557.8961049,Kmeans
7,0.08980989456176758,0.237675461995,0.595721475921,-2291.50372294,Kmeans
8,0.08952593803405762,0.189246280119,0.551023907345,-2045.69947289,Kmeans
9,0.11319398880004883,0.183633325068,0.564198631247,-1929.79013294,Kmeans
10,0.13489079475402832,0.16069704583,0.537401446613,-1821.50672576,Kmeans
11,0.13558697700500488,0.144791935592,0.51704422176,-1715.08615754,Kmeans
12,0.1626439094543457,0.1183388378,0.50096426985,-1629.84177141,Kmeans
13,0.1412980556488037,0.122989486691,0.565898254914,-1542.02735078,Kmeans
14,0.12642812728881836,0.104409400901,0.515330706543,-1478.61086626,Kmeans
15,0.12224197387695312,0.108660802192,0.575349102291,-1422.91865833,Kmeans
16,0.13794994354248047,0.0936691575223,0.535572706417,-1365.89588383,Kmeans
17,0.12935400009155273,0.0913353992691,0.582441587999,-1327.60445038,Kmeans
18,0.13765311241149902,0.100321513213,0.679014115953,-1286.40254842,Kmeans
19,0.14074492454528809,0.091427638233,0.634863119811,-1245.63225273,Kmeans
