k,time,adjusted_rand_score,homogeneity_score,log-likelihood,algo
2,0.05526089668273926,0.808778482091,0.681464130476,-1635.92857547,Kmeans_PCA
3,0.04668903350830078,0.411251659853,0.456010060792,-1073.93121503,Kmeans_PCA
4,0.0453190803527832,0.343171500918,0.472119967518,-805.50123117,Kmeans_PCA
5,0.07052206993103027,0.317541289826,0.568187606065,-659.639512924,Kmeans_PCA
6,0.07875895500183105,0.259819107966,0.555053601739,-559.873891562,Kmeans_PCA
7,0.08504390716552734,0.218360204053,0.604097547218,-464.752244483,Kmeans_PCA
8,0.09377598762512207,0.225785517766,0.702324298751,-404.039971464,Kmeans_PCA
9,0.0807180404663086,0.197315558169,0.65469953571,-363.300616634,Kmeans_PCA
10,0.08256196975708008,0.177929500612,0.652987755729,-326.886121049,Kmeans_PCA
11,0.08660387992858887,0.157398390745,0.674705157136,-300.549447174,Kmeans_PCA
12,0.0962209701538086,0.148110448794,0.68547239805,-275.846965679,Kmeans_PCA
13,0.08104491233825684,0.13617851195,0.682439737539,-257.755460315,Kmeans_PCA
14,0.1047511100769043,0.129631213427,0.668840374136,-236.719284147,Kmeans_PCA
15,0.09378504753112793,0.118803148549,0.682865848496,-223.13426049,Kmeans_PCA
16,0.09029889106750488,0.111863056322,0.681886945976,-211.83314279,Kmeans_PCA
17,0.10812687873840332,0.106807057883,0.685039298917,-196.506191893,Kmeans_PCA
18,0.10997486114501953,0.103003229469,0.719238538294,-186.37815939,Kmeans_PCA
19,0.09741401672363281,0.0985977908473,0.713199661314,-175.962295104,Kmeans_PCA
