k,time,Log-likelihood,bic,aic,algo
2,22.295625925064087,-1300.91157258,58517813866.7,58514349254.8,EM
3,90.16852498054504,-919.750441145,179944501543.0,179939304622.0,EM
4,109.18318200111389,-727.337070629,204264206246.0,204257277017.0,EM
5,124.26128220558167,-457.905344263,66404632815.9,66395971277.9,EM
6,125.2289571762085,-363.221715132,54302980420.9,54292586574.1,EM
7,159.4220118522644,-339.855844343,135540977638.0,135528851482.0,EM
8,181.8427391052246,-277.327069851,55417799280.5,55403940816.3,EM
9,108.38926267623901,-174.950052215,213644977216.0,213629386443.0,EM
10,143.05916476249695,-188.436563546,71652743136.8,71635420055.1,EM
11,221.78588891029358,-28.3847056027,212854351885.0,212835296495.0,EM
12,180.09347295761108,73.3385573199,106422086420.0,106401298721.0,EM
13,179.92033290863037,226.466532865,192684986166.0,192662466158.0,EM
14,194.87527108192444,273.382479904,375777316651.0,375753064334.0,EM
15,370.51826095581055,434.643638821,1.57007727174e+12,1.57005128712e+12,EM
16,206.5672047138214,503.170960731,676387061430.0,676359344496.0,EM
17,113.42158818244934,509.562855597,638570969262.0,638541520019.0,EM
18,142.85747623443604,671.645847453,1.95758457605e+12,1.9575533945e+12,EM
19,225.1922070980072,692.934538587,1.68790354261e+12,1.68787062875e+12,EM
