k,time,Log-likelihood,bic,aic,algo
2,67.81815886497498,-1264.62414316,172784731405.0,172781266793.0,EM_FA
3,1999.3669397830963,-806.84349116,363241894767.0,363236697846.0,EM_FA
4,439.17740511894226,-785.263432642,152452467514.0,152445538285.0,EM_FA
5,453.3029570579529,-409.812668728,117967634694.0,117958973156.0,EM_FA
6,1333.1189231872559,-375.730717487,109529517861.0,109519124014.0,EM_FA
7,469.14519119262695,-321.530426245,117129450629.0,117117324473.0,EM_FA
8,13023.021673202515,-247.681431119,170751346176.0,170737487712.0,EM_FA
9,13640.262579917908,-192.794193013,181325033247.0,181309442474.0,EM_FA
10,507.55012607574463,-107.94078709,248033994739.0,248016671658.0,EM_FA
11,293.770122051239,-21.23354354,361109030056.0,361089974665.0,EM_FA
12,4044.7815907001495,116.534971763,599725839277.0,599705051578.0,EM_FA
13,931.3258910179138,198.635773391,303774321802.0,303751801794.0,EM_FA
14,661.2750141620636,232.290995303,431277004072.0,431252751755.0,EM_FA
15,152.30315709114075,252.852761259,469755607923.0,469729623298.0,EM_FA
16,313.6098439693451,423.349272951,664008497163.0,663980780229.0,EM_FA
17,136.4351031780243,590.476820967,2.63034369413e+12,2.63031424488e+12,EM_FA
18,282.4497799873352,664.106902617,3.7523330766e+12,3.75230189505e+12,EM_FA
19,86.33144307136536,699.797633976,1.67442254846e+12,1.6743896346e+12,EM_FA
