k,time,Log-likelihood,bic,aic,algo
2,16.53824782371521,-1248.00936357,85864624275.3,85861159663.5,EM_ICA
3,78.84097599983215,-922.236217505,148524217274.0,148519020354.0,EM_ICA
4,137.70118308067322,-722.891741119,321120265529.0,321113336300.0,EM_ICA
5,149.92310762405396,-396.640484384,62148639178.1,62139977640.1,EM_ICA
6,191.14976525306702,-370.376352361,119564004645.0,119553610798.0,EM_ICA
7,199.02553486824036,-284.234919598,242929849959.0,242917723803.0,EM_ICA
8,255.5672209262848,-265.707527277,193902010191.0,193888151727.0,EM_ICA
9,130.91984796524048,-217.875062308,187197097900.0,187181507127.0,EM_ICA
10,125.05067706108093,-106.246379065,150285958631.0,150268635550.0,EM_ICA
11,180.2341411113739,-45.3334881281,499837236262.0,499818180872.0,EM_ICA
12,1206.3762488365173,-12.892897113,460935582070.0,460914794371.0,EM_ICA
13,174.7823989391327,137.896118146,531893833928.0,531871313920.0,EM_ICA
14,183.85483813285828,217.943006692,703668687963.0,703644435647.0,EM_ICA
15,344.01071786880493,356.199497556,1.5441193973e+12,1.54409341268e+12,EM_ICA
16,232.78946805000305,385.40129987,1.0962892093e+12,1.09626149237e+12,EM_ICA
17,255.73427820205688,487.11987317,1.16110695683e+12,1.16107750759e+12,EM_ICA
18,702.5058491230011,635.455635722,5.46146622183e+12,5.46143504028e+12,EM_ICA
19,1716.507285118103,728.211725061,2.23053649007e+12,2.23050357621e+12,EM_ICA
