k,time,Log-likelihood,bic,aic,algo
2,0.06142115592956543,-15.273147183,61145.1453555,61083.5354285,EM_PCA
3,0.09506106376647949,-15.2420633677,61088.7259421,60993.5106003,EM_PCA
4,0.23392367362976074,-15.1796775742,60890.9249699,60762.1042134,EM_PCA
5,0.32891106605529785,-15.1675447335,60871.9607764,60709.5346051,EM_PCA
6,0.2281322479248047,-15.1666663137,60924.2294819,60728.1978958,EM_PCA
7,0.2201390266418457,-15.1567831153,60957.4127025,60727.7757017,EM_PCA
8,0.1819009780883789,-15.1560658904,60995.4581562,60732.2157406,EM_PCA
9,0.1848888397216797,-15.152000035,61016.7152656,60719.8674353,EM_PCA
10,0.22548389434814453,-15.1518814146,61051.1626329,60720.7093877,EM_PCA
11,0.21002697944641113,-15.1498871036,61094.3812314,60730.3225715,EM_PCA
12,0.34032273292541504,-15.149196397,61133.750838,60736.0867634,EM_PCA
13,0.24819207191467285,-15.1496515734,61182.2227737,60750.9532844,EM_PCA
14,0.26743602752685547,-15.149356358,61225.4003471,60760.5254429,EM_PCA
15,0.3545079231262207,-15.1381787543,61254.972538,60756.4922191,EM_PCA
16,0.2862660884857178,-15.1350690498,61285.9295823,60753.8438486,EM_PCA
17,0.2634289264678955,-15.146059476,61361.9397737,60796.2486252,EM_PCA
18,0.3149440288543701,-15.1440470971,61409.4668385,60810.1702754,EM_PCA
19,0.3363809585571289,-15.1345146975,61396.5866105,60763.6846325,EM_PCA
