k,time,Log-likelihood,bic,aic,algo
2,112.13644790649414,-1175.47008203,155296857542.0,155293392930.0,EM_RP
3,151.34562492370605,-845.612665175,163765924810.0,163760727890.0,EM_RP
4,156.07951617240906,-502.056101993,139428419628.0,139421490399.0,EM_RP
5,208.2901222705841,-362.923998881,141685938378.0,141677276840.0,EM_RP
6,163.73686385154724,-309.258312746,154824420624.0,154814026778.0,EM_RP
7,422.74586176872253,-403.867391866,92573516943.1,92561390787.6,EM_RP
8,1808.4415547847748,-212.966580043,373724017027.0,373710158563.0,EM_RP
9,512.7692739963531,-131.317406229,135977560978.0,135961970205.0,EM_RP
10,443.53962206840515,-210.8874736,319981440259.0,319964117178.0,EM_RP
11,1353.6546897888184,-44.5078172339,306502125057.0,306483069666.0,EM_RP
12,352.4481279850006,38.5682871619,390881531764.0,390860744065.0,EM_RP
13,25329.523130893707,133.507697825,551160987060.0,551138467052.0,EM_RP
14,2518.750221014023,275.689379778,338811273483.0,338787021166.0,EM_RP
15,187.1751790046692,342.934282573,933111723165.0,933085738540.0,EM_RP
16,2341.59104514122,471.522685343,2.10172253701e+12,2.10169482008e+12,EM_RP
17,2644.0012669563293,547.406698284,1.7048794194e+12,1.70484997016e+12,EM_RP
18,236.8806972503662,703.035323976,3.86539079513e+12,3.86535961358e+12,EM_RP
19,427.4125909805298,811.173520092,4.39190915195e+12,4.39187623809e+12,EM_RP
