k,time,silhouette score,calinski-harabaz score,log-likehood,algo
2,11.330834865570068,0.0872422696851,688.466755177,-32071642482.8,Kmeans
3,22.332683086395264,0.0547975594433,620.593328303,-30494088729.6,Kmeans
4,17.33579707145691,0.0603247991889,567.514720205,-29291164460.4,Kmeans
5,13.57858681678772,0.0663987378576,541.17441934,-28177485159.4,Kmeans
6,19.652078866958618,0.0647118125871,500.956006785,-27410308830.6,Kmeans
7,19.220099210739136,0.0680747667164,461.52844846,-26841918113.0,Kmeans
8,20.376589059829712,0.0727266257932,430.877078593,-26331733234.8,Kmeans
9,27.02509593963623,0.0572276471685,406.428050593,-25863283786.8,Kmeans
10,21.882885217666626,0.0596410899297,384.927802215,-25453351124.2,Kmeans
11,35.904431104660034,0.0601682280602,367.221178617,-25065420662.9,Kmeans
12,41.43860697746277,0.0596223484902,351.340578133,-24716379784.2,Kmeans
13,30.354230880737305,0.0613035490492,336.837002104,-24403334920.7,Kmeans
14,34.4809148311615,0.06351506346,324.401230169,-24101666836.8,Kmeans
15,31.03654408454895,0.0632422303676,312.489161982,-23836386942.5,Kmeans
16,28.407626152038574,0.0621703621457,301.165203368,-23601223161.0,Kmeans
17,25.419770002365112,0.063969239686,290.892392781,-23379916188.9,Kmeans
18,30.94239902496338,0.0655459896896,281.445068066,-23172893127.2,Kmeans
19,32.85410690307617,0.0670563883494,272.725629623,-22978399594.7,Kmeans
