k,time,silhouette score,calinski-harabaz score,log-likelihood,algo
2,0.2235240936279297,0.357735463676,6074.95581296,-3556976476.65,Kmeans_PCA
3,0.15905404090881348,0.409542293226,8702.82302379,-2086126003.05,Kmeans_PCA
4,0.22374391555786133,0.402402762018,8952.64420232,-1550985765.48,Kmeans_PCA
5,0.2944951057434082,0.377086331391,8836.92289238,-1260489430.63,Kmeans_PCA
6,0.39205408096313477,0.379371096828,8874.48780112,-1051167892.02,Kmeans_PCA
7,0.6007459163665771,0.375495885078,9134.57815981,-881826648.723,Kmeans_PCA
8,0.5864932537078857,0.358864432562,8870.16809405,-792651173.399,Kmeans_PCA
9,0.9129788875579834,0.354596533761,8915.46542382,-702595454.222,Kmeans_PCA
10,1.119920015335083,0.358062228823,8854.85738875,-636967634.672,Kmeans_PCA
11,1.3421859741210938,0.357220051087,8778.95752825,-584174745.262,Kmeans_PCA
12,1.248715877532959,0.343684731341,8773.80824768,-536284464.163,Kmeans_PCA
13,1.4781131744384766,0.34713462775,8819.12773613,-493091941.892,Kmeans_PCA
14,2.4221408367156982,0.347954204253,8736.6341136,-462135654.048,Kmeans_PCA
15,1.901242733001709,0.344552288934,8698.83039473,-433311175.238,Kmeans_PCA
16,1.9515941143035889,0.347408980399,8703.37738393,-406247541.371,Kmeans_PCA
17,1.6498122215270996,0.34135179414,8699.68721467,-382666776.983,Kmeans_PCA
18,2.840770959854126,0.342457557117,8664.26089726,-362933750.875,Kmeans_PCA
19,2.1866109371185303,0.339686647044,8608.28421092,-346049704.454,Kmeans_PCA
