k,time,silhouette score,calinski-harabaz score,log-likelihood,algo
2,0.34058189392089844,0.417642063109,9286.46918061,-16654871917.8,Kmeans_RP
3,0.7658908367156982,0.318977276542,7657.97109876,-12687144974.7,Kmeans_RP
4,1.0537290573120117,0.335068340279,7566.8419638,-9821141072.22,Kmeans_RP
5,1.5973889827728271,0.329730827351,7423.39037867,-8090100538.75,Kmeans_RP
6,2.457158327102661,0.322956451978,7183.83648445,-6992622984.96,Kmeans_RP
7,3.6176528930664062,0.317289535589,7043.05485467,-6143798863.99,Kmeans_RP
8,2.5105228424072266,0.314049541772,6854.4179578,-5536890310.04,Kmeans_RP
9,3.94707989692688,0.317680782407,6846.58537144,-4955791626.58,Kmeans_RP
10,2.2210090160369873,0.320349675714,6808.48131205,-4503188782.77,Kmeans_RP
11,2.968125820159912,0.316704517592,6730.55278666,-4151542230.87,Kmeans_RP
12,2.3972911834716797,0.316587291635,6659.01633615,-3854761918.7,Kmeans_RP
13,3.102405071258545,0.315340734554,6591.56451871,-3601350462.62,Kmeans_RP
14,3.0273501873016357,0.312085193248,6538.15971219,-3377435190.82,Kmeans_RP
15,3.921895980834961,0.315466550984,6520.78324336,-3167222682.65,Kmeans_RP
16,3.2014529705047607,0.313900969628,6461.36871926,-3000160118.38,Kmeans_RP
17,5.217277765274048,0.311717917178,6400.20222238,-2853538101.22,Kmeans_RP
18,5.096246957778931,0.315752061362,6370.69884545,-2710989215.8,Kmeans_RP
19,5.977401971817017,0.317381001431,6357.85029069,-2576984654.25,Kmeans_RP
